zip,LAT,LNG,AVG_LIFE_EXP
01001,42.062368,-72.625754,79.4
01002,42.364061,-72.458739,84.28
01003,42.389941,-72.524108,82.9
01005,42.418848,-72.106598,81.9
01007,42.279010,-72.400468,81.6
01008,42.190144,-72.954350,82.8
01009,42.211969,-72.341433,81.0
01010,42.128176,-72.205352,79.6
01011,42.300281,-72.968716,85.2666666666667
01012,42.375425,-72.858192,81.5
01013,42.154904,-72.602804,77.37
01020,42.172602,-72.562073,78.3727272727273
01022,42.197741,-72.542713,78.8666666666667
01026,42.465495,-72.918267,86.3333333333333
01027,42.295008,-72.751877,81.5666666666667
01028,42.062378,-72.498111,80.8166666666667
01029,42.193395,-73.044647,83.6
01030,42.072925,-72.686972,79.3
01031,42.329399,-72.198187,82.0
01032,42.457613,-72.814780,85.9
01033,42.244949,-72.500143,81.6
01034,42.098676,-72.961564,82.0
01035,42.356491,-72.568632,83.7
01036,42.062946,-72.417297,81.0
01037,42.372728,-72.195412,82.0
01038,42.385496,-72.606929,79.0
01039,42.404278,-72.688922,83.3333333333333
01040,42.211656,-72.642448,77.7545454545455
01050,42.286762,-72.869695,83.5333333333334
01053,42.356301,-72.713584,80.7
01054,42.468898,-72.484579,84.9
01056,42.183577,-72.457812,81.34
01057,42.093596,-72.321494,81.375
01060,42.321488,-72.630588,80.1
01062,42.328308,-72.703924,79.9666666666667
01063,42.318882,-72.638530,81.7666666666667
01066,42.406903,-72.655018,79.0
01068,42.350862,-72.044248,82.8666666666667
01069,42.187794,-72.308469,80.0142857142857
01070,42.518446,-72.919017,86.75
01071,42.160060,-72.873853,82.0
01072,42.456968,-72.417244,86.6
01073,42.226949,-72.741588,81.4
01074,42.387603,-72.093230,84.4
01075,42.256208,-72.581030,81.725
01077,42.052570,-72.777353,81.5333333333333
01079,42.197913,-72.329709,81.0
01080,42.185727,-72.361558,79.95
01081,42.061313,-72.234411,82.3
01082,42.293533,-72.278599,78.25
01083,42.203642,-72.194599,78.2
01084,42.392370,-72.882235,81.5
01085,42.153503,-72.771602,79.7125
01088,42.391709,-72.646494,79.0
01089,42.125451,-72.649734,79.3285714285714
01092,42.191868,-72.235108,78.2
01093,42.441943,-72.661817,84.7
01094,42.359108,-72.136800,82.0
01095,42.138499,-72.420715,80.4
01096,42.397140,-72.763572,84.4333333333333
01098,42.394315,-72.943115,86.45
01103,42.104106,-72.592027,75.3833333333333
01104,42.134009,-72.565378,75.6583333333333
01105,42.099958,-72.580765,75.7555555555556
01106,42.047565,-72.571130,83.075
01107,42.121060,-72.607068,76.9285714285714
01108,42.080692,-72.560791,77.9
01109,42.119674,-72.549726,76.4
01118,42.094194,-72.525081,79.35
01119,42.124978,-72.511210,77.86
01128,42.092296,-72.489135,79.5666666666667
01129,42.118690,-72.488200,78.3166666666667
01151,42.151860,-72.509131,74.6333333333333
01199,42.120563,-72.604468,75.1
01201,42.448236,-73.273727,78.5857142857143
01220,42.623799,-73.116736,77.7
01222,42.058703,-73.322175,86.3
01223,42.312225,-73.110124,81.7666666666667
01224,42.513163,-73.195743,86.6
01225,42.563401,-73.153335,84.35
01226,42.481119,-73.135073,81.3
01230,42.173192,-73.324283,83.64
01235,42.425676,-73.063012,84.7
01236,42.266496,-73.378393,81.5
01237,42.547818,-73.268033,83.1333333333333
01238,42.297501,-73.230148,81.74
01240,42.367858,-73.269763,81.0
01242,42.333734,-73.249199,82.8
01243,42.350122,-73.024112,91.4
01244,42.118094,-73.257497,87.5
01245,42.186893,-73.223105,83.9333333333333
01247,42.698526,-73.084300,79.5142857142857
01253,42.206683,-73.113214,83.6
01254,42.382019,-73.365492,82.5333333333333
01255,42.107496,-73.118607,85.55
01256,42.594166,-73.022320,85.25
01257,42.085244,-73.367483,86.9
01258,42.109280,-73.462886,83.1
01259,42.075469,-73.234376,87.5
01260,42.295696,-73.342543,79.2
01262,42.292202,-73.319209,79.2
01264,42.231590,-73.202428,80.7
01266,42.312354,-73.388044,82.75
01267,42.671617,-73.246981,81.625
01270,42.515272,-73.031166,83.25
01301,42.626761,-72.601530,79.3375
01330,42.513947,-72.821517,86.525
01331,42.562408,-72.191080,78.5142857142857
01337,42.689307,-72.582249,81.1
01338,42.572604,-72.824306,82.9
01339,42.603776,-72.889644,84.1333333333333
01340,42.694731,-72.710956,83.45
01341,42.496937,-72.709414,85.1
01342,42.543889,-72.609458,82.3
01343,42.657625,-72.978933,84.2
01344,42.613418,-72.426427,81.6
01346,42.693275,-72.823113,84.0
01347,42.559294,-72.518753,83.4
01349,42.563061,-72.482122,82.5
01350,42.727772,-72.985346,84.0
01351,42.539880,-72.521689,85.0
01354,42.624076,-72.508643,82.25
01355,42.458551,-72.327191,86.6
01360,42.677091,-72.453876,81.55
01364,42.605437,-72.292074,79.4
01366,42.475621,-72.192468,79.55
01367,42.695532,-72.909148,84.2
01368,42.679456,-72.176935,78.95
01370,42.593338,-72.726941,83.675
01373,42.475481,-72.615403,83.5
01375,42.466691,-72.546751,84.7
01376,42.595280,-72.555002,81.05
01378,42.673533,-72.353213,81.6
01379,42.556310,-72.407148,84.1
01420,42.584925,-71.816862,78.9909090909091
01430,42.657005,-71.923442,79.1
01431,42.676293,-71.832523,80.9
01432,42.566573,-71.575135,82.4666666666667
01434,42.538903,-71.612027,80.9333333333333
01436,42.602059,-72.087015,79.4
01438,42.562243,-72.031402,80.7
01440,42.584206,-71.988737,78.1
01450,42.611760,-71.565269,81.725
01451,42.501908,-71.568201,85.4333333333333
01452,42.489598,-72.002878,81.5
01453,42.519977,-71.763202,79.6090909090909
01460,42.535931,-71.490569,84.65
01462,42.582607,-71.720464,81.45
01463,42.670643,-71.602858,80.86
01464,42.573654,-71.640986,81.2
01467,42.489646,-71.609577,81.9
01468,42.542767,-72.068345,80.1333333333333
01469,42.664828,-71.695087,80.25
01473,42.554600,-71.905440,80.275
01474,42.669685,-71.752751,80.2333333333333
01475,42.668160,-72.055644,79.55
01501,42.198708,-71.846006,80.0428571428571
01503,42.384929,-71.633889,82.7
01504,42.039991,-71.532406,79.6666666666667
01505,42.355049,-71.716157,87.2
01506,42.180788,-72.107891,79.9
01507,42.133935,-71.968025,80.4833333333333
01510,42.411887,-71.690005,80.0666666666667
01515,42.209682,-72.040178,81.55
01516,42.053072,-71.752241,78.1
01518,42.127477,-72.118818,80.25
01519,42.203404,-71.679739,80.775
01520,42.336372,-71.850626,81.0333333333333
01521,42.046799,-72.180144,82.3
01522,42.375634,-71.867382,81.7
01523,42.483569,-71.675585,80.54
01524,42.249603,-71.919217,80.725
01525,42.106794,-71.630518,80.4
01527,42.192246,-71.777649,79.6125
01529,42.036642,-71.578779,83.6
01531,42.319125,-72.130814,82.1
01532,42.323342,-71.646236,80.8857142857143
01534,42.142074,-71.643348,79.5
01535,42.267564,-72.066876,80.9666666666667
01536,42.231309,-71.692642,81.075
01537,42.158966,-71.897051,80.6
01540,42.116263,-71.857465,79.4666666666667
01541,42.454125,-71.877540,80.3
01542,42.204251,-71.908907,80.5
01543,42.388285,-71.969865,82.4
01545,42.284767,-71.714228,82.9333333333333
01550,42.059737,-72.033908,78.96
01560,42.175395,-71.674223,79.4
01561,42.443970,-71.685583,82.2
01562,42.247211,-71.991867,79.9
01564,42.447924,-71.776045,82.15
01566,42.103214,-72.079545,80.25
01568,42.176526,-71.603588,82.0
01569,42.055930,-71.631232,80.4
01570,42.047532,-71.846952,77.6428571428571
01571,42.053778,-71.935075,77.225
01581,42.268426,-71.613309,81.5
01583,42.369417,-71.785036,80.48
01585,42.240796,-72.162645,79.3
01588,42.118794,-71.672494,79.75
01590,42.132051,-71.750318,80.7166666666667
01602,42.269189,-71.850728,79.2272727272727
01603,42.243826,-71.843569,78.1538461538462
01604,42.253254,-71.767957,77.66
01605,42.289683,-71.787793,79.6454545454545
01606,42.315249,-71.795741,80.0125
01607,42.225974,-71.788894,78.8833333333333
01608,42.261980,-71.801462,76.9
01609,42.285114,-71.829987,79.1888888888889
01610,42.247049,-71.808366,77.3923076923077
01611,42.237604,-71.875838,78.5
01612,42.296798,-71.928991,80.425
01701,42.319587,-71.442800,82.7888888888889
01702,42.282379,-71.436621,80.6083333333333
01718,42.519816,-71.429283,82.7
01719,42.485985,-71.520985,87.7
01720,42.483953,-71.438495,84.11
01721,42.257755,-71.473526,84.2333333333333
01730,42.499295,-71.281889,84.0
01731,42.456748,-71.279484,85.45
01740,42.439941,-71.601879,81.4
01741,42.536620,-71.361832,81.1
01742,42.462911,-71.364496,82.775
01745,42.292114,-71.499197,85.4
01746,42.195951,-71.453430,83.0666666666667
01747,42.123007,-71.531404,81.5
01748,42.224096,-71.540489,82.65
01749,42.389071,-71.545864,82.9375
01752,42.349617,-71.547214,80.1166666666667
01754,42.425955,-71.456256,84.1666666666667
01756,42.093870,-71.544519,80.4666666666667
01757,42.158692,-71.521419,80.8142857142857
01760,42.284822,-71.348811,82.3545454545455
01770,42.231947,-71.372963,85.55
01772,42.302877,-71.530828,84.0666666666667
01773,42.425506,-71.310812,85.9
01775,42.429688,-71.512514,84.1666666666667
01776,42.383367,-71.421070,83.4428571428571
01778,42.343687,-71.381186,84.5428571428572
01801,42.488769,-71.154438,81.4636363636364
01803,42.503227,-71.201713,81.4428571428572
01810,42.648044,-71.161751,82.8545454545455
01821,42.549330,-71.251725,81.2222222222222
01824,42.590790,-71.355182,80.0
01826,42.679723,-71.300680,78.825
01827,42.676149,-71.499772,82.9
01830,42.796313,-71.053436,78.2222222222222
01832,42.791114,-71.132859,81.1
01833,42.727879,-70.982036,82.1
01834,42.753900,-71.015935,81.35
01835,42.751233,-71.094300,81.1333333333333
01840,42.706763,-71.160403,76.7833333333333
01841,42.712015,-71.164873,78.5266666666667
01843,42.689974,-71.160383,81.3625
01844,42.742468,-71.179218,80.0818181818182
01845,42.673909,-71.091334,81.0571428571429
01850,42.656045,-71.303309,77.96
01851,42.627812,-71.335330,78.0666666666667
01852,42.631912,-71.296025,77.3357142857143
01854,42.649481,-71.348229,77.63
01860,42.838603,-71.011997,81.6
01862,42.578543,-71.295592,81.975
01863,42.633780,-71.389470,83.4
01864,42.578222,-71.084398,81.9
01867,42.535183,-71.105423,82.54
01876,42.611801,-71.227571,80.8307692307692
01879,42.667762,-71.428820,81.56
01880,42.501524,-71.067489,81.6454545454545
01886,42.585541,-71.440250,83.775
01887,42.564647,-71.164516,80.4285714285714
01890,42.452752,-71.144319,83.05
01901,42.460419,-70.946379,76.5166666666667
01902,42.471039,-70.941535,78.3882352941177
01904,42.492456,-70.973930,79.52
01905,42.465998,-70.975792,78.825
01906,42.468432,-71.013946,80.4818181818182
01907,42.474145,-70.906597,81.9
01908,42.428256,-70.926041,82.3
01913,42.851293,-70.955810,80.7333333333333
01915,42.570665,-70.867583,80.4875
01921,42.683108,-71.018330,82.7666666666667
01922,42.757313,-70.914241,81.2
01923,42.574174,-70.950516,81.2111111111111
01929,42.640420,-70.771172,84.15
01930,42.619910,-70.681824,80.4363636363636
01937,42.585723,-70.984051,78.1
01938,42.683860,-70.842666,83.6625
01940,42.534146,-71.038333,82.94
01944,42.576636,-70.767154,87.3
01945,42.501835,-70.859126,84.7833333333334
01949,42.606666,-71.010316,82.3
01950,42.812358,-70.891095,80.98
01951,42.773351,-70.850211,80.58
01952,42.844793,-70.841476,79.875
01960,42.534279,-70.969782,80.8285714285714
01966,42.640715,-70.620248,83.6666666666667
01969,42.720873,-70.891220,81.7
01970,42.524435,-70.870859,80.9
01982,42.626223,-70.857230,83.9833333333333
01983,42.641379,-70.943440,83.5
01984,42.600633,-70.883303,83.55
01985,42.799565,-70.964428,84.2
02019,42.076682,-71.474490,82.575
02021,42.175737,-71.125385,80.8
02025,42.236423,-70.814436,82.6
02026,42.246872,-71.179462,80.4333333333333
02030,42.234160,-71.291167,84.7
02032,42.156882,-71.216187,83.8
02035,42.061338,-71.245802,81.86
02038,42.084858,-71.410571,82.6375
02043,42.216098,-70.881270,82.3666666666667
02045,42.292253,-70.923919,83.1333333333333
02047,42.133914,-70.686037,85.1
02048,42.017302,-71.216410,80.6555555555556
02050,42.115139,-70.710331,82.2
02052,42.184599,-71.305307,83.075
02053,42.156203,-71.430345,81.8333333333333
02054,42.173091,-71.363751,82.9333333333333
02056,42.113655,-71.334163,81.0
02061,42.164569,-70.818844,82.1666666666667
02062,42.187360,-71.195955,80.675
02066,42.202273,-70.758184,81.86
02067,42.107600,-71.181828,83.76
02071,42.103425,-71.273589,82.6
02072,42.119006,-71.103650,80.5307692307692
02081,42.146694,-71.270532,83.1
02090,42.219645,-71.216769,82.3666666666667
02093,42.052671,-71.356858,79.7666666666667
02108,42.357768,-71.064858,82.32
02109,42.367032,-71.050493,82.325
02110,42.361962,-71.047846,82.75
02111,42.350518,-71.059077,85.3333333333333
02113,42.365331,-71.055233,81.9
02114,42.363174,-71.068646,82.2111111111111
02115,42.337105,-71.105696,81.2142857142857
02116,42.350579,-71.076397,83.325
02118,42.337582,-71.070482,79.0454545454545
02119,42.324029,-71.085017,77.3375
02120,42.332090,-71.096545,76.875
02121,42.306267,-71.085897,77.5083333333333
02122,42.291413,-71.042158,77.9076923076923
02124,42.285805,-71.070571,79.23125
02125,42.315682,-71.055555,77.95
02126,42.274227,-71.097423,78.9888888888889
02127,42.334992,-71.039093,77.7333333333333
02128,42.361129,-71.006975,79.3363636363636
02129,42.379657,-71.061487,79.1
02130,42.309174,-71.113835,81.30625
