County, FIPS,Met_Healthy_People_Objective_of_161.4?,"Age-Adjusted_Death_Rate_per_100,000",Lower_95%_CI,Upper_95%_CI,Average_Annual_Count,Recent_Trend,Recent_5-Year_Trend_in_Death_Rates,5yr_Lower_95%_CI,5yr_Upper_95%_CI
United States,0,No,163.5,163.3,163.7,586354,falling,-1.5,-1.6,-1.5
"Union County, Florida",12125,No,427.7,380.9,478.8,71,stable,10.2,-2.7,24.7
"Robertson County, Kentucky",21201,No,290.4,212.9,391.2,10,stable,0.5,-1.3,2.3
"Harlan County, Kentucky",21095,No,279.8,255.2,306.3,100,rising,0.8,0.1,1.5
"Owsley County, Kentucky",21189,No,274.4,217.1,343.4,17,stable,0.5,-0.7,1.8
"Lake and Peninsula Borough, Alaska (3)",2164,No,273.2,143.7,461.8,3,*,*,*,*
"Woodson County, Kansas",20207,No,273,207.5,355.1,14,rising,2,0.6,3.4
"Lawrence County, Kentucky",21127,No,272.5,239,309.6,51,stable,0.4,-0.1,0.9
"Nicholas County, Kentucky",21181,No,272,225.9,325.5,25,stable,0,-0.9,1
"Powell County, Kentucky",21197,No,271.4,232.8,314.6,38,stable,-0.2,-1.1,0.6
"Breathitt County, Kentucky",21025,No,267.8,232.5,307.3,44,stable,0.1,-0.9,1.1
"Wolfe County, Kentucky",21237,No,265.6,218.5,320.3,24,stable,-0.4,-2,1.3
"Trousdale County, Tennessee",47169,No,265.5,219,319.1,24,stable,0,-1.3,1.3
"Cimarron County, Oklahoma",40025,No,265.1,189.9,363.5,10,stable,0.7,-1.4,2.8
"North Slope Borough, Alaska",2185,No,264.7,190.9,354.1,13,stable,0.2,-2.1,2.5
"Estill County, Kentucky",21065,No,263.3,230.3,300.1,48,stable,0.6,-0.3,1.4
"Lee County, Kentucky",21129,No,259.1,212,314.1,22,stable,0.4,-0.8,1.6
"Madison County, Mississippi",28089,No,258.3,244,273.2,257,falling,-7.3,-9.1,-5.4
"McCreary County, Kentucky",21147,No,258,226.2,293.2,51,stable,-8.9,-20.5,4.3
"Whitley County, Kentucky",21235,No,258,236,281.7,104,stable,-0.1,-0.9,0.7
"Catahoula Parish, Louisiana",22025,No,256.9,217.3,302.1,31,stable,0.6,-0.4,1.6
"Bristol City, Virginia",51520,No,255.9,228.1,286.5,64,stable,0.3,-0.4,1
"Coahoma County, Mississippi",28027,No,255,227.9,284.4,67,stable,0.6,-0.1,1.4
"Nome Census Area, Alaska",2180,No,254,197,320.9,16,stable,0.3,-1.5,2.2
"Phillips County, Arkansas",5107,No,253.7,225.6,284.5,62,falling,-0.9,-1.6,-0.2
"Gallatin County, Kentucky",21077,No,252.2,203.7,308.6,21,stable,-4.8,-22.6,17
"Clinton County, Kentucky",21053,No,251.2,213.6,294,34,stable,0.1,-0.9,1.1
"Wade Hampton Census Area, Alaska",2270,No,250.8,173.6,346.4,9,stable,-0.2,-2.3,1.9
"Perry County, Kentucky",21193,No,250,226.2,275.7,85,stable,-0.1,-0.8,0.6
"Sunflower County, Mississippi",28133,No,248.8,222.3,277.5,67,stable,0,-0.5,0.5
"Logan County, West Virginia",54045,No,248.3,227.9,270.2,117,falling,-0.9,-1.6,-0.2
"Webster County, West Virginia",54101,No,246.7,209,290.1,33,stable,0.6,-0.3,1.5
"Martinsville City, Virginia",51690,No,246.6,216.1,280.6,50,stable,-0.3,-1.2,0.7
"Poinsett County, Arkansas",5111,No,245.5,221.2,271.9,77,stable,-0.1,-0.8,0.5
"Hart County, Kentucky",21099,No,245.4,217.2,276.6,57,stable,0.3,-0.6,1.1
"Leslie County, Kentucky",21131,No,245.2,208.9,286.3,34,stable,0.4,-0.5,1.3
"Washington County, Mississippi",28151,No,244.4,225.6,264.4,131,stable,-0.1,-0.5,0.4
"Calhoun County, Mississippi",28013,No,244.1,213.2,278.5,47,stable,0.7,-0.3,1.7
"Okfuskee County, Oklahoma",40107,No,243.7,209.7,282,38,stable,0.2,-0.7,1
"Bracken County, Kentucky",21023,No,243.5,202.2,291.2,25,stable,-0.1,-1.2,1
"Cross County, Arkansas",5037,No,243.5,214.8,275.2,54,stable,0.8,-1.2,2.7
"Dunklin County, Missouri",29069,No,243.4,222.3,266.1,101,stable,-0.1,-0.8,0.5
"Tunica County, Mississippi",28143,No,242.6,198.8,292.9,23,stable,-0.7,-1.6,0.2
