CSAFP,GEOID,NAME,CBSA_TYPE,ALAND,AWATER,ALAND_SQMI,AWATER_SQMI,INTPTLAT,INTPTLONG                                                                                                             
434,10260,"Adjuntas, PR Micro Area",2,172725728,1051790,66.69,0.406,18.181611,-66.758165
220,10300,"Adrian, MI Micro Area",2,1941336570,30687108,749.554,11.848,41.896019,-84.074307
184,10420,"Akron, OH Metro Area",1,2331567839,62070183,900.223,23.965,41.146639,-81.35011
440,10540,"Albany, OR Metro Area",1,5923493230,50497756,2287.074,19.497,44.488898,-122.537208
104,10580,"Albany-Schenectady-Troy, NY Metro Area",1,7282139776,172580328,2811.65,66.634,42.78792,-73.942348
172,10620,"Albemarle, NC Micro Area",2,1023370455,25242751,395.126,9.746,35.310449,-80.254374
290,10700,"Albertville, AL Micro Area",2,1465528724,148498594,565.844,57.336,34.309564,-86.321668
106,10740,"Albuquerque, NM Metro Area",1,24043350981,32136080,9283.19,12.408,35.123489,-106.458368
142,10760,"Alexander City, AL Micro Area",2,1855771079,128817905,716.517,49.737,32.863369,-85.799553
204,10860,"Alice, TX Micro Area",2,2240778091,8739522,865.169,3.374,27.733516,-98.090814
408,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",1,3762639558,58632594,1452.763,22.638,40.789339,-75.398158
394,10940,"Alma, MI Micro Area",2,1472084943,8383160,568.375,3.237,43.292326,-84.60469
108,11100,"Amarillo, TX Metro Area",1,13338874025,87049183,5150.168,33.61,35.248005,-101.90867
218,11180,"Ames, IA Metro Area",1,1483235295,2509634,572.68,0.969,42.037538,-93.466093
104,11220,"Amsterdam, NY Micro Area",2,1044067732,18598434,403.117,7.181,42.900891,-74.435357
258,11420,"Angola, IN Micro Area",2,799725227,35458838,308.776,13.691,41.643467,-85.002405
220,11460,"Ann Arbor, MI Metro Area",1,1828420670,42642348,705.957,16.464,42.252327,-83.844634
118,11540,"Appleton, WI Metro Area",1,2475547183,222404950,955.814,85.871,44.290603,-88.372326
412,11580,"Arcadia, FL Micro Area",2,1649978043,6247257,637.06,2.412,27.190581,-81.806253
490,11640,"Arecibo, PR Metro Area",1,613199240,231835718,236.758,89.512,18.439224,-66.759981
556,11680,"Arkansas City-Winfield, KS Micro Area",2,2915648172,17322934,1125.738,6.688,37.234507,-96.837247
120,11700,"Asheville, NC Metro Area",1,5264421185,21754980,2032.604,8.4,35.595669,-82.681615
360,11740,"Ashland, OH Micro Area",2,1095444134,9962880,422.953,3.847,40.843273,-82.270127
184,11780,"Ashtabula, OH Micro Area",2,1818360011,1724498213,702.073,665.833,41.906637,-80.745592
312,11860,"Atchison, KS Micro Area",2,1116736559,6851102,431.174,2.645,39.532544,-95.313397
174,11940,"Athens, TN Micro Area",2,1114009037,5340571,430.121,2.062,35.424471,-84.619962
206,11980,"Athens, TX Micro Area",2,2263037771,193234810,873.764,74.608,32.211633,-95.853418
122,12020,"Athens-Clarke County, GA Metro Area",1,2654380348,26343696,1024.862,10.171,33.943984,-83.213897
122,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",1,22491398238,392840264,8683.978,151.676,33.693728,-84.399911
428,12100,"Atlantic City-Hammonton, NJ Metro Area",1,1438982592,301062779,555.594,116.241,39.469354,-74.633758
426,12120,"Atmore, AL Micro Area",2,2447822304,20797758,945.11,8.03,31.122287,-87.16841
258,12140,"Auburn, IN Micro Area",2,939731978,2657419,362.833,1.026,41.401189,-85.000185
532,12180,"Auburn, NY Micro Area",2,1791190504,445708175,691.583,172.089,43.008546,-76.574587
194,12220,"Auburn-Opelika, AL Metro Area",1,1573550101,21491164,607.551,8.298,32.604064,-85.353048
462,12380,"Austin, MN Micro Area",2,1842332253,617233,711.328,0.238,43.666249,-92.759514
533,12460,"Bainbridge, GA Micro Area",2,1546667779,67329727,597.172,25.996,30.880655,-84.584144
548,12580,"Baltimore-Columbia-Towson, MD Metro Area",1,6737729367,1304256532,2601.452,503.576,39.304361,-76.549501
357,12660,"Baraboo, WI Micro Area",2,2153665639,45713371,831.535,17.65,43.427998,-89.943329
350,12680,"Bardstown, KY Micro Area",2,1081354955,16997387,417.514,6.563,37.803188,-85.465955
148,12700,"Barnstable Town, MA Metro Area",1,1020989901,2360346063,394.206,911.335,41.799014,-70.21188
538,12780,"Bartlesville, OK Micro Area",2,1076019752,22829398,415.454,8.814,36.70438,-95.906155
384,12820,"Bastrop, LA Micro Area",2,2058870205,28878805,794.934,11.15,32.820008,-91.800399
464,12860,"Batavia, NY Micro Area",2,1276698028,6142605,492.936,2.372,43.00091,-78.192778
310,12980,"Battle Creek, MI Metro Area",1,1829198151,31268858,706.257,12.073,42.24299,-85.012385
474,13020,"Bay City, MI Metro Area",1,1145557694,487990588,442.302,188.414,43.699711,-83.978701
288,13060,"Bay City, TX Micro Area",2,2830586532,1345801461,1092.896,519.617,28.77476,-96.001532
339,13100,"Beatrice, NE Micro Area",2,2205275212,22010737,851.462,8.498,40.255234,-96.683453
376,13180,"Beaver Dam, WI Micro Area",2,2267979574,81401509,875.672,31.429,43.422662,-88.704398
144,13260,"Bedford, IN Micro Area",2,1163367128,7122898,449.179,2.75,38.839815,-86.48782
198,13340,"Bellefontaine, OH Micro Area",2,1187337620,21597586,458.434,8.339,40.387553,-83.766343
140,13460,"Bend-Redmond, OR Metro Area",1,7815563218,94755758,3017.606,36.585,43.915118,-121.225575
266,13660,"Big Rapids, MI Micro Area",2,1437745751,41762966,555.117,16.125,43.635295,-85.332751
142,13820,"Birmingham-Hoover, AL Metro Area",1,13674073275,233572192,5279.589,90.183,33.462372,-86.814338
292,13940,"Blackfoot, ID Micro Area",2,5422887230,68487087,2093.789,26.443,43.216357,-112.399206
145,14010,"Bloomington, IL Metro Area",1,4094224599,27362629,1580.789,10.565,40.405593,-88.861307
