Cancer Sites,Cancer Sites Code,MSA,MSA Code,Year,Year Code,Count,Population,Age-Adjusted Rate,Crude Rate
All Invasive Cancer Sites Combined,0," Akron, OH  ",10420,2015,2015,3981,703358,452.3,566
All Invasive Cancer Sites Combined,0," Albany-Schenectady-Troy, NY  ",10580,2015,2015,5810,880803,535.7,659.6
All Invasive Cancer Sites Combined,0," Albuquerque, NM  ",10740,2015,2015,4139,905174,389.6,457.3
All Invasive Cancer Sites Combined,0," Allentown-Bethlehem-Easton, PA-NJ  ",10900,2015,2015,5352,833049,499.6,642.5
All Invasive Cancer Sites Combined,0," Atlanta-Sandy Springs-Roswell, GA  ",12060,2015,2015,25925,5699050,461.5,454.9
All Invasive Cancer Sites Combined,0," Augusta-Richmond County, GA-SC  ",12260,2015,2015,2932,590047,428.6,496.9
All Invasive Cancer Sites Combined,0," Austin-Round Rock, TX  ",12420,2015,2015,7021,1998104,394.1,351.4
All Invasive Cancer Sites Combined,0," Bakersfield, CA  ",12540,2015,2015,2998,879497,384.8,340.9
All Invasive Cancer Sites Combined,0," Baltimore-Columbia-Towson, MD  ",12580,2015,2015,15276,2793837,472,546.8
All Invasive Cancer Sites Combined,0," Baton Rouge, LA  ",12940,2015,2015,4194,829741,479.2,505.5
All Invasive Cancer Sites Combined,0," Birmingham-Hoover, AL  ",13820,2015,2015,6023,1144857,443.3,526.1
All Invasive Cancer Sites Combined,0," Boise City, ID  ",14260,2015,2015,3222,675777,452,476.8
All Invasive Cancer Sites Combined,0," Boston-Cambridge-Newton, MA-NH  ",14460,2015,2015,25382,4766755,456.6,532.5
All Invasive Cancer Sites Combined,0," Bridgeport-Stamford-Norwalk, CT  ",14860,2015,2015,5155,944674,464.7,545.7
All Invasive Cancer Sites Combined,0," Buffalo-Cheektowaga-Niagara Falls, NY  ",15380,2015,2015,7985,1135479,545.7,703.2
All Invasive Cancer Sites Combined,0," Cape Coral-Fort Myers, FL  ",15980,2015,2015,3998,700285,343.6,570.9
All Invasive Cancer Sites Combined,0," Charleston-North Charleston, SC  ",16700,2015,2015,3722,744603,453.3,499.9
All Invasive Cancer Sites Combined,0," Charlotte-Concord-Gastonia, NC-SC  ",16740,2015,2015,11897,2424643,462,490.7
All Invasive Cancer Sites Combined,0," Chattanooga, TN-GA  ",16860,2015,2015,3014,547007,438,551
All Invasive Cancer Sites Combined,0," Chicago-Naperville-Elgin, IL-IN-WI  ",16980,2015,2015,47253,9532569,456.6,495.7
All Invasive Cancer Sites Combined,0," Cincinnati, OH-KY-IN  ",17140,2015,2015,11530,2155392,471.6,534.9
All Invasive Cancer Sites Combined,0," Cleveland-Elyria, OH  ",17460,2015,2015,12351,2059929,464.6,599.6
All Invasive Cancer Sites Combined,0," Colorado Springs, CO  ",17820,2015,2015,3034,697619,430.2,434.9
All Invasive Cancer Sites Combined,0," Columbia, SC  ",17900,2015,2015,3997,809771,448.1,493.6
All Invasive Cancer Sites Combined,0," Columbus, OH  ",18140,2015,2015,9901,2020144,472.4,490.1
All Invasive Cancer Sites Combined,0," Dallas-Fort Worth-Arlington, TX  ",19100,2015,2015,27980,7089888,421.4,394.6
All Invasive Cancer Sites Combined,0," Dayton, OH  ",19380,2015,2015,4669,799800,459.2,583.8
All Invasive Cancer Sites Combined,0," Deltona-Daytona Beach-Ormond Beach, FL  ",19660,2015,2015,4296,623378,427.6,689.1
All Invasive Cancer Sites Combined,0," Denver-Aurora-Lakewood, CO  ",19740,2015,2015,11249,2808816,391.1,400.5
All Invasive Cancer Sites Combined,0," Des Moines-West Des Moines, IA  ",19780,2015,2015,2979,622580,464,478.5
All Invasive Cancer Sites Combined,0," Detroit-Warren-Dearborn, MI  ",19820,2015,2015,23051,4297538,443.9,536.4
All Invasive Cancer Sites Combined,0," Durham-Chapel Hill, NC  ",20500,2015,2015,2715,551237,446.3,492.5
All Invasive Cancer Sites Combined,0," El Paso, TX  ",21340,2015,2015,3081,837208,385,368
All Invasive Cancer Sites Combined,0,"Fayetteville-Springdale-Rogers, AR-MO",22220,2015,2015,2308,513449,450,449.5
All Invasive Cancer Sites Combined,0," Fresno, CA  ",23420,2015,2015,3406,972130,372.2,350.4
All Invasive Cancer Sites Combined,0," Grand Rapids-Wyoming, MI  ",24340,2015,2015,4107,1038337,366.4,395.5
All Invasive Cancer Sites Combined,0," Greensboro-High Point, NC  ",24660,2015,2015,4427,751776,495.8,588.9
All Invasive Cancer Sites Combined,0," Greenville-Anderson-Mauldin, SC  ",24860,2015,2015,4861,873231,465.4,556.7
All Invasive Cancer Sites Combined,0," Harrisburg-Carlisle, PA  ",25420,2015,2015,3242,565096,453.2,573.7
All Invasive Cancer Sites Combined,0," Hartford-West Hartford-East Hartford, CT  ",25540,2015,2015,6925,1209953,456.2,572.3
