Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Median_Household_Income,Median_Household_Income_2016
0100000US,,United States,0100000US,,United States,United States,55322,120
0100000US,,United States,0400000US01,1,United States - Alabama,Alabama,44758,314
0100000US,,United States,1600000US0100100,100100,United States - Alabama - Abanda CDP,Abanda CDP,-,**
0100000US,,United States,1600000US0100124,100124,United States - Alabama - Abbeville city,Abbeville city,28148,6956
0100000US,,United States,1600000US0100460,100460,United States - Alabama - Adamsville city,Adamsville city,44833,9040
0100000US,,United States,1600000US0100484,100484,United States - Alabama - Addison town,Addison town,34063,7572
0100000US,,United States,1600000US0100676,100676,United States - Alabama - Akron town,Akron town,17344,10693
0100000US,,United States,1600000US0100820,100820,United States - Alabama - Alabaster city,Alabaster city,73325,3674
0100000US,,United States,1600000US0100988,100988,United States - Alabama - Albertville city,Albertville city,32042,3280
0100000US,,United States,1600000US0101132,101132,United States - Alabama - Alexander City city,Alexander City city,30442,3778
0100000US,,United States,1600000US0101180,101180,United States - Alabama - Alexandria CDP,Alexandria CDP,57411,15526
0100000US,,United States,1600000US0101228,101228,United States - Alabama - Aliceville city,Aliceville city,19926,3115
0100000US,,United States,1600000US0101396,101396,United States - Alabama - Allgood town,Allgood town,40817,12104
0100000US,,United States,1600000US0101660,101660,United States - Alabama - Altoona town,Altoona town,28672,5971
0100000US,,United States,1600000US0101708,101708,United States - Alabama - Andalusia city,Andalusia city,34012,3491
0100000US,,United States,1600000US0101756,101756,United States - Alabama - Anderson town,Anderson town,45500,16718
0100000US,,United States,1600000US0101852,101852,United States - Alabama - Anniston city,Anniston city,30539,2238
0100000US,,United States,1600000US0102116,102116,United States - Alabama - Arab city,Arab city,42199,2563
0100000US,,United States,1600000US0102260,102260,United States - Alabama - Ardmore town,Ardmore town,35150,5010
0100000US,,United States,1600000US0102320,102320,United States - Alabama - Argo town,Argo town,58103,14187
0100000US,,United States,1600000US0102428,102428,United States - Alabama - Ariton town,Ariton town,30833,15061
0100000US,,United States,1600000US0102500,102500,United States - Alabama - Arley town,Arley town,33438,8058
0100000US,,United States,1600000US0102836,102836,United States - Alabama - Ashford town,Ashford town,43641,4177
0100000US,,United States,1600000US0102860,102860,United States - Alabama - Ashland town,Ashland town,31042,12215
0100000US,,United States,1600000US0102908,102908,United States - Alabama - Ashville city,Ashville city,47917,7383
0100000US,,United States,1600000US0102956,102956,United States - Alabama - Athens city,Athens city,45920,4799
0100000US,,United States,1600000US0103004,103004,United States - Alabama - Atmore city,Atmore city,25487,3181
0100000US,,United States,1600000US0103028,103028,United States - Alabama - Attalla city,Attalla city,38921,4809
0100000US,,United States,1600000US0103076,103076,United States - Alabama - Auburn city,Auburn city,38912,3043
0100000US,,United States,1600000US0103220,103220,United States - Alabama - Autaugaville town,Autaugaville town,29327,10839
0100000US,,United States,1600000US0103364,103364,United States - Alabama - Avon town,Avon town,40000,14867
0100000US,,United States,1600000US0103508,103508,United States - Alabama - Axis CDP,Axis CDP,56328,21774
0100000US,,United States,1600000US0103556,103556,United States - Alabama - Babbie town,Babbie town,34318,12774
0100000US,,United States,1600000US0103676,103676,United States - Alabama - Baileyton town,Baileyton town,32039,5665
0100000US,,United States,1600000US0103724,103724,United States - Alabama - Bakerhill town,Bakerhill town,31719,14081
0100000US,,United States,1600000US0103820,103820,United States - Alabama - Ballplay CDP,Ballplay CDP,37151,10852
0100000US,,United States,1600000US0103940,103940,United States - Alabama - Banks town,Banks town,27000,13684
0100000US,,United States,1600000US0104660,104660,United States - Alabama - Bay Minette city,Bay Minette city,32341,9193
0100000US,,United States,1600000US0104684,104684,United States - Alabama - Bayou La Batre city,Bayou La Batre city,40909,16641
0100000US,,United States,1600000US0104852,104852,United States - Alabama - Bear Creek town,Bear Creek town,31700,4534
0100000US,,United States,1600000US0104900,104900,United States - Alabama - Beatrice town,Beatrice town,14063,8305
0100000US,,United States,1600000US0104948,104948,United States - Alabama - Beaverton town,Beaverton town,37813,22293
0100000US,,United States,1600000US0105140,105140,United States - Alabama - Belgreen CDP,Belgreen CDP,30625,22247
0100000US,,United States,1600000US0105164,105164,United States - Alabama - Belk town,Belk town,31250,13326
0100000US,,United States,1600000US0105188,105188,United States - Alabama - Bellamy CDP,Bellamy CDP,24122,14900
0100000US,,United States,1600000US0105212,105212,United States - Alabama - Belle Fontaine CDP,Belle Fontaine CDP,47885,18492
0100000US,,United States,1600000US0105692,105692,United States - Alabama - Benton town,Benton town,-,**
0100000US,,United States,1600000US0105932,105932,United States - Alabama - Berry town,Berry town,25357,8760
0100000US,,United States,1600000US0105980,105980,United States - Alabama - Bessemer city,Bessemer city,30682,2020
0100000US,,United States,1600000US0106460,106460,United States - Alabama - Billingsley town,Billingsley town,31750,11545
0100000US,,United States,1600000US0107000,107000,United States - Alabama - Birmingham city,Birmingham city,32404,985
0100000US,,United States,1600000US0107120,107120,United States - Alabama - Black town,Black town,39375,16004
0100000US,,United States,1600000US0107456,107456,United States - Alabama - Blountsville town,Blountsville town,27386,6482
0100000US,,United States,1600000US0107588,107588,United States - Alabama - Blue Ridge CDP,Blue Ridge CDP,95625,24203
0100000US,,United States,1600000US0107672,107672,United States - Alabama - Blue Springs town,Blue Springs town,47500,24102
0100000US,,United States,1600000US0107912,107912,United States - Alabama - Boaz city,Boaz city,39328,6239
0100000US,,United States,1600000US0108104,108104,United States - Alabama - Boligee town,Boligee town,10326,2964
0100000US,,United States,1600000US0108248,108248,United States - Alabama - Bon Air town,Bon Air town,32813,17115
0100000US,,United States,1600000US0108272,108272,United States - Alabama - Bon Secour CDP,Bon Secour CDP,18135,5432
0100000US,,United States,1600000US0108680,108680,United States - Alabama - Boykin CDP,Boykin CDP,9712,9477
0100000US,,United States,1600000US0109016,109016,United States - Alabama - Brantley town,Brantley town,24537,5903
0100000US,,United States,1600000US0109064,109064,United States - Alabama - Brantleyville CDP,Brantleyville CDP,42000,13949
0100000US,,United States,1600000US0109136,109136,United States - Alabama - Brent city,Brent city,34273,3093
0100000US,,United States,1600000US0109208,109208,United States - Alabama - Brewton city,Brewton city,35744,5180
0100000US,,United States,1600000US0109328,109328,United States - Alabama - Bridgeport city,Bridgeport city,29122,4581
0100000US,,United States,1600000US0109400,109400,United States - Alabama - Brighton city,Brighton city,25205,4312
0100000US,,United States,1600000US0109424,109424,United States - Alabama - Brilliant town,Brilliant town,26316,4736
0100000US,,United States,1600000US0109457,109457,United States - Alabama - Bristow Cove CDP,Bristow Cove CDP,-,**
0100000US,,United States,1600000US0109500,109500,United States - Alabama - Brook Highland CDP,Brook Highland CDP,59293,7731
0100000US,,United States,1600000US0109736,109736,United States - Alabama - Brookside town,Brookside town,30833,11180
0100000US,,United States,1600000US0109808,109808,United States - Alabama - Brookwood town,Brookwood town,53958,4213
0100000US,,United States,1600000US0109880,109880,United States - Alabama - Broomtown CDP,Broomtown CDP,26053,7841
0100000US,,United States,1600000US0110240,110240,United States - Alabama - Brundidge city,Brundidge city,24167,5950
0100000US,,United States,1600000US0110456,110456,United States - Alabama - Bucks CDP,Bucks CDP,-,**
0100000US,,United States,1600000US0111032,111032,United States - Alabama - Butler town,Butler town,30787,7559
0100000US,,United States,1600000US0111416,111416,United States - Alabama - Calera city,Calera city,63396,3472
0100000US,,United States,1600000US0111488,111488,United States - Alabama - Calvert CDP,Calvert CDP,33378,11925
0100000US,,United States,1600000US0111512,111512,United States - Alabama - Camden city,Camden city,34250,11043
0100000US,,United States,1600000US0111680,111680,United States - Alabama - Camp Hill town,Camp Hill town,25785,6244
0100000US,,United States,1600000US0112016,112016,United States - Alabama - Carbon Hill city,Carbon Hill city,30000,9272
0100000US,,United States,1600000US0112040,112040,United States - Alabama - Cardiff town,Cardiff town,-,**
0100000US,,United States,1600000US0112070,112070,United States - Alabama - Carlisle-Rockledge CDP,Carlisle-Rockledge CDP,33281,8582
0100000US,,United States,1600000US0112112,112112,United States - Alabama - Carlton CDP,Carlton CDP,-,**
0100000US,,United States,1600000US0112160,112160,United States - Alabama - Carolina town,Carolina town,52344,17161
0100000US,,United States,1600000US0112304,112304,United States - Alabama - Carrollton town,Carrollton town,25192,8000
0100000US,,United States,1600000US0112496,112496,United States - Alabama - Castleberry town,Castleberry town,16696,6381
0100000US,,United States,1600000US0112544,112544,United States - Alabama - Catherine CDP,Catherine CDP,-,**
0100000US,,United States,1600000US0112760,112760,United States - Alabama - Cedar Bluff town,Cedar Bluff town,38141,5769
0100000US,,United States,1600000US0113264,113264,United States - Alabama - Center Point city,Center Point city,39134,3053
0100000US,,United States,1600000US0113648,113648,United States - Alabama - Centre city,Centre city,31898,5199
0100000US,,United States,1600000US0113672,113672,United States - Alabama - Centreville city,Centreville city,43438,8705
0100000US,,United States,1600000US0114008,114008,United States - Alabama - Chatom town,Chatom town,38889,10381
0100000US,,United States,1600000US0114104,114104,United States - Alabama - Chelsea city,Chelsea city,91199,5561
0100000US,,United States,1600000US0114152,114152,United States - Alabama - Cherokee town,Cherokee town,29167,10260
0100000US,,United States,1600000US0114392,114392,United States - Alabama - Chickasaw city,Chickasaw city,28893,4729
0100000US,,United States,1600000US0114464,114464,United States - Alabama - Childersburg city,Childersburg city,30391,7624
0100000US,,United States,1600000US0114728,114728,United States - Alabama - Choccolocco CDP,Choccolocco CDP,61378,24755
0100000US,,United States,1600000US0114968,114968,United States - Alabama - Chunchula CDP,Chunchula CDP,69537,10206
0100000US,,United States,1600000US0115064,115064,United States - Alabama - Citronelle city,Citronelle city,44026,10436
0100000US,,United States,1600000US0115136,115136,United States - Alabama - Clanton city,Clanton city,40837,5385
0100000US,,United States,1600000US0115256,115256,United States - Alabama - Clay city,Clay city,69973,8739
0100000US,,United States,1600000US0115304,115304,United States - Alabama - Clayhatchee town,Clayhatchee town,31875,9301
0100000US,,United States,1600000US0115376,115376,United States - Alabama - Clayton town,Clayton town,25352,5646
0100000US,,United States,1600000US0115472,115472,United States - Alabama - Cleveland town,Cleveland town,32917,10851
0100000US,,United States,1600000US0115640,115640,United States - Alabama - Clio city,Clio city,20887,4380
0100000US,,United States,1600000US0116000,116000,United States - Alabama - Coaling town,Coaling town,57679,14856
0100000US,,United States,1600000US0116080,116080,United States - Alabama - Coats Bend CDP,Coats Bend CDP,42500,7824
0100000US,,United States,1600000US0116240,116240,United States - Alabama - Coffee Springs town,Coffee Springs town,31250,7964
0100000US,,United States,1600000US0116264,116264,United States - Alabama - Coffeeville town,Coffeeville town,21750,11553
0100000US,,United States,1600000US0116312,116312,United States - Alabama - Coker town,Coker town,47917,16292
0100000US,,United States,1600000US0116600,116600,United States - Alabama - Collinsville town,Collinsville town,22917,11771
0100000US,,United States,1600000US0116684,116684,United States - Alabama - Colony town,Colony town,34018,11231
0100000US,,United States,1600000US0116744,116744,United States - Alabama - Columbia town,Columbia town,32396,5068
0100000US,,United States,1600000US0116768,116768,United States - Alabama - Columbiana city,Columbiana city,34336,9280
0100000US,,United States,1600000US0116936,116936,United States - Alabama - Concord CDP,Concord CDP,54808,13019
0100000US,,United States,1600000US0117176,117176,United States - Alabama - Coosada town,Coosada town,43646,5479
0100000US,,United States,1600000US0117368,117368,United States - Alabama - Cordova city,Cordova city,20917,3766
0100000US,,United States,1600000US0117704,117704,United States - Alabama - Cottondale CDP,Cottondale CDP,50063,8188
0100000US,,United States,1600000US0117824,117824,United States - Alabama - Cottonwood town,Cottonwood town,25893,2721
0100000US,,United States,1600000US0117968,117968,United States - Alabama - County Line town,County Line town,48884,3854
0100000US,,United States,1600000US0118040,118040,United States - Alabama - Courtland town,Courtland town,36016,8769
0100000US,,United States,1600000US0118088,118088,United States - Alabama - Cowarts town,Cowarts town,41625,3522
0100000US,,United States,1600000US0118304,118304,United States - Alabama - Creola city,Creola city,48913,6299
0100000US,,United States,1600000US0118856,118856,United States - Alabama - Crossville town,Crossville town,31157,5024
0100000US,,United States,1600000US0118952,118952,United States - Alabama - Cuba town,Cuba town,40147,9978
0100000US,,United States,1600000US0118976,118976,United States - Alabama - Cullman city,Cullman city,40129,2454
0100000US,,United States,1600000US0119024,119024,United States - Alabama - Cullomburg CDP,Cullomburg CDP,19000,10545
0100000US,,United States,1600000US0119216,119216,United States - Alabama - Cusseta town,Cusseta town,36389,16057
0100000US,,United States,1600000US0119336,119336,United States - Alabama - Dadeville city,Dadeville city,30094,9207
0100000US,,United States,1600000US0119360,119360,United States - Alabama - Daleville city,Daleville city,41235,6591
0100000US,,United States,1600000US0119648,119648,United States - Alabama - Daphne city,Daphne city,61508,5746
0100000US,,United States,1600000US0119744,119744,United States - Alabama - Dauphin Island town,Dauphin Island town,68750,15600
0100000US,,United States,1600000US0119816,119816,United States - Alabama - Daviston town,Daviston town,46250,16953
0100000US,,United States,1600000US0119912,119912,United States - Alabama - Dayton town,Dayton town,"2,500-",***
0100000US,,United States,1600000US0120008,120008,United States - Alabama - Deatsville town,Deatsville town,77333,26396
0100000US,,United States,1600000US0120104,120104,United States - Alabama - Decatur city,Decatur city,42602,2529
0100000US,,United States,1600000US0120152,120152,United States - Alabama - Deer Park CDP,Deer Park CDP,-,**
0100000US,,United States,1600000US0120272,120272,United States - Alabama - Delta CDP,Delta CDP,-,**
0100000US,,United States,1600000US0120296,120296,United States - Alabama - Demopolis city,Demopolis city,25942,4258
0100000US,,United States,1600000US0120392,120392,United States - Alabama - Detroit town,Detroit town,27083,10083
0100000US,,United States,1600000US0120955,120955,United States - Alabama - Dodge City town,Dodge City town,36016,4166
0100000US,,United States,1600000US0121136,121136,United States - Alabama - Dora city,Dora city,41197,4077
0100000US,,United States,1600000US0121184,121184,United States - Alabama - Dothan city,Dothan city,42569,1191
0100000US,,United States,1600000US0121280,121280,United States - Alabama - Double Springs town,Double Springs town,23000,9098
