SF_SITE_COUNT,AVG_HRSSCORE,State,State_Abbr,Population,Pct_Veterans,Pct_Below_Poverty,Median_Household_Income,Median_Age,Housing_Units,Land_Area,Total_Area,Water_Area,Housing_Density,Population_Density,Cancer_Incidence_Count,Cancer_Incicence_Rate,Cancer_Prevalence_Count,Cancer_Prevalence_Rate,Cancer_Death_Count,Cancer_Death_Rate
17,41.78352941,Alabama,AL,4779736,9.4,18.4,44758,38.6,2171853,50645.33,52420.07,1774.74,42.9,94.4,26089,442.8,229600,4803,10354,175.4
9,45.25444444,Alaska,AK,710231,12.8,10.1,74444,33.6,306967,570640.95,665384.04,94743.1,0.5,1.2,2714,392.2,34400,4843,978,161.1
12,40.31,Arizona,AZ,6392017,9.8,17.7,51340,37.1,2844526,113594.08,113990.3,396.22,25,56.3,30398,371.9,368700,5768,11776,141.1
17,32.59588235,Arkansas,AR,2915918,9.5,18.8,42336,37.7,1316299,52035.48,53178.55,1143.07,25.3,56,16600,461.8,134600,4616,6727,185.5
111,39.5027027,California,CA,37253956,5.9,15.8,63783,36,13680081,155779.22,163694.74,7915.52,87.8,239.1,163946,391.4,1774200,4762,59629,143.5
23,43.61608696,Colorado,CO,5029196,9.4,12.2,62520,36.4,2212898,103641.89,104093.67,451.78,21.4,48.5,22186,378,211800,4211,7604,134.9
18,37.99888889,Connecticut,CT,3574097,6.7,10.4,71755,40.6,1487891,4842.36,5543.41,701.06,307.3,738.1,20413,459.8,228700,6398,6666,146.2
21,34.4052381,Delaware,DE,897934,9.5,12,61017,39.6,405885,1948.54,2488.72,540.18,208.3,460.8,5795,484,52100,5802,2010,166.1
1,48.57,District of Columbia,DC,601723,5.1,17.9,72935,33.8,296719,61.05,68.34,7.29,4860.4,,2474,378.2,17600,2924,1072,167.7
80,42.3105,Florida,FL,18801310,9.4,16.1,48900,41.6,8989580,53624.76,65757.7,12132.94,167.6,350.6,110045,398.3,1392000,7403,44027,150.1
