State,State_Abbr,Male_Cancer_Prevalence_Counts,Female_Cancer_Prevalence_Counts,Total_Cancer_Prevalence_Counts
Alabama,AL,103000,126600,229600
Alaska,AK,16200,18200,34400
Arizona,AZ,182700,186000,368700
Arkansas,AR,67700,66900,134600
California,CA,842700,931500,1774200
Colorado,CO,103300,108500,211800
Connecticut,CT,103800,124900,228700
Delaware,DE,25200,26900,52100
District of Columbia,DC,8100,9500,17600
Florida,FL,701800,690200,1392000
Georgia,GA,205200,214600,419800
Hawaii,HI,34600,45300,79900
Idaho,ID,36400,36800,73200
Illinois,IL,284300,328100,612400
Indiana,IN,133900,145000,278900
Iowa,IA,80100,94400,174500
Kansas,KS,73600,69100,142700
Kentucky,KY,115000,124300,239300
Louisiana,LA,108400,109600,218000
Maine,ME,42600,47100,89700
Maryland,MD,109300,149600,258900
Massachusetts,MA,185400,222600,408000
Michigan,MI,261400,274800,536200
Minnesota,MN,137700,145000,282700
Mississippi,MS,67100,59900,127000
Missouri,MO,134400,147700,282100
Montana,MT,27900,28500,56400
Nebraska,NE,52700,49200,101900
Nevada,NV,61300,63500,124800
New Hampshire,NH,37600,41400,79000
New Jersey,NJ,239100,271200,510300
New Mexico,NM,49200,55700,104900
New York,NY,472600,566400,1039000
North Carolina,NC,201200,240600,441800
North Dakota,ND,17400,18700,36100
Ohio,OH,268900,277200,546100
Oklahoma,OK,92600,102200,194800
Oregon,OR,95800,104900,200700
Pennsylvania,PA,352400,371900,724300
Rhode Island,RI,29300,34500,63800
South Carolina,SC,127500,136400,263900
South Dakota,SD,20700,19500,40200
Tennessee,TN,149500,157300,306800
Texas,TX,511500,559700,1071200
United States,US,7599300,8296800,15896100
Utah,UT,53700,55200,108900
Vermont,VT,14400,17900,32300
Virginia,VA,181800,201600,383400
Washington,WA,171100,192000,363100
West Virginia,WV,52800,57200,110000
Wisconsin,WI,141300,153000,294300
Wyoming,WY,13300,18000,31300
