EPA ID,Site ID,Name,Address,City,County,FIPS,State,ZIP code,Latitude,Longitude,NPL status,NPL status date,HRS score
AK0001897602,1001984,SALT CHUCK MINE,"4 MI SW CY,  T72S R84E S17, COPPER RIVER",THORNE BAY,,,AK,99919,55.6263,-132.5586,Final,03/04/10,50
AK1570028646,1000110,EIELSON AIR FORCE BASE,HIGHWAY 2 - 16 MI SE OF FAIRBANKS,FAIRBANKS,FAIRBANKS NORTH STAR,02090,AK,99702,64.6714,-147.0492,Final,11/21/89,48.14
AK4170024323,1000128,ADAK NAVAL AIR STATION,ADAK IS,ADAK,,,AK,99546,51.8775,-176.6525,Final,05/31/94,51.37
AK6210022426,1001146,FORT WAINWRIGHT,"RICHARDSON HWY, SE OF CY",FORT WAINWRIGHT,,,AK,99703,64.823,-147.6106,Final,08/30/90,42.4
AK6214522157,1001455,FORT RICHARDSON (USARMY),NOT AVAILABLE,ANCHORAGE,ANCHORAGE,02020,AK,99505,61.2583,-149.7,Final,05/31/94,50
AK8570028649,1000155,ELMENDORF AIR FORCE BASE,N BOUNDRY OF CITY LIMITS,ANCHORAGE,ANCHORAGE,02020,AK,99506,61.2541,-149.7917,Final,08/30/90,45.91
AKD004904215,1000017,ALASKA BATTERY ENTERPRISES,157 OLD RICHARDSON HIGHWAY,FAIRBANKS,FAIRBANKS NORTH STAR,02090,AK,99701,64.8203,-147.7038,Deleted from NPL,07/26/96,30.98
AKD980978787,1000073,STANDARD STEEL & METAL SALVAGE YARD (USDOT),2400 RAILROAD AVENUE,ANCHORAGE,ANCHORAGE,02020,AK,99501,61.2279,-149.8324,Deleted from NPL,09/30/02,46.25
AKD980988158,1000082,ARCTIC SURPLUS,BADGER RD AND OLD RICHARDSON WAY MI. 6,FAIRBANKS,FAIRBANKS NORTH STAR,02090,AK,99701,64.8122,-147.5643,Deleted from NPL,09/25/06,42.24
AL0001058056,0406330,CAPITOL CITY PLUME,MADISON AVENUE,MONTGOMERY,MONTGOMERY,01101,AL,36109,32.382,-86.306,Proposed for NPL,05/11/00,50
AL3210020027,0400443,ANNISTON ARMY DEPOT (SOUTHEAST INDUSTRIAL AREA),OFF AL HWY 202,ANNISTON,CALHOUN,01015,AL,36253,33.6594,-85.9694,Final,03/13/89,51.91
AL6210020008,0400449,ALABAMA ARMY AMMUNITION PLANT,STATE HWY 235,CHILDERSBURG,TALLADEGA,01121,AL,35044,33.3381,-86.3268,Final,07/22/87,36.83
AL7210020742,0405545,USARMY/NASA REDSTONE ARSENAL,NOT AVAILABLE,HUNTSVILLE,MADISON,01089,AL,35808,34.6469,-86.673,Final,05/31/94,50
ALD001221902,0400073,CIBA-GEIGY CORP. (MCINTOSH PLANT),OFF HWY 43,MCINTOSH,WASHINGTON,01129,AL,36553,31.279,-87.9955,Final,09/21/84,53.42
ALD004022448,0400129,"ALABAMA PLATING COMPANY, INC.",570 HIGHWAY 231 NORTH,VINCENT,SHELBY,01117,AL,35178,33.3997,-86.405,Final,09/18/12,30.2
ALD007454085,0404285,T.H. AGRICULTURE & NUTRITION CO. (MONTGOMERY PLANT),3017 BIRMINGHAM HWY,MONTGOMERY,MONTGOMERY,01101,AL,36108,32.3761,-86.3791,Final,08/30/90,44.46
ALD008161176,0400144,STAUFFER CHEMICAL CO. (LEMOYNE PLANT),US HWY 43,AXIS,MOBILE,01097,AL,36505,30.9694,-88.0175,Final,09/21/84,32.34
ALD008188708,0400153,OLIN CORP. (MCINTOSH PLANT),OLIN RD,MCINTOSH,WASHINGTON,01129,AL,36553,31.2638,-87.9944,Final,09/21/84,39.71
ALD031618069,0404343,MOWBRAY ENGINEERING CO.,JCT OF 2ND & BEELAND STS,GREENVILLE,BUTLER,01013,AL,36037,31.8316,-86.613,Deleted from NPL,12/30/93,53.67
ALD041906173,0404344,INTERSTATE LEAD CO. (ILCO),1247 BORDEN AVE SE,LEEDS,JEFFERSON,01073,AL,35094,33.6888,-86.6333,Final,06/10/86,42.86
ALD095688875,0400306,STAUFFER CHEMICAL CO. (COLD CREEK PLANT),US HWY 43,BUCKS,MOBILE,01097,AL,36512,30.975,-88.0213,Final,09/21/84,46.77
ALD980728703,0404345,PERDIDO GROUND WATER CONTAMINATION,COUNTY RD 47 S,PERDIDO,BALDWIN,01003,AL,36562,31.0125,-87.625,Final,09/08/83,30.29
ALD980844385,0400417,"REDWING CARRIERS, INC. (SARALAND)",527 US HWY 43,SARALAND,MOBILE,01097,AL,36571,30.8083,-88.073,Deleted from NPL,09/28/15,30.83
ALD981868466,0406299,AMERICAN BRASS INC.,HIGHWAY 134 WEST,HEADLAND,HENRY,01067,AL,36345,31.325,-85.4041,Final,05/10/99,55.61
ALD983166299,0405546,TRIANA/TENNESSEE RIVER,USAMICOM DRSMI KL,LIMESTONE/MORGAN,,01103,AL,35898,34.5088,-86.6381,Final,09/08/83,61.42
ALN000410750,0410750,35TH AVENUE,3500 35TH N.,BIRMINGHAM,JEFFERSON,01073,AL,35207,33.5574,-86.7996,Proposed for NPL,09/22/14,0
ARD000023440,0600023,"VERTAC, INC.",MARSHALL RD,JACKSONVILLE,PULASKI,05119,AR,72076,34.878,-92.1312,Final,09/08/83,65.46
ARD008049207,0600064,MACMILLAN RING FREE OIL,MACMILLAN ROAD OFF ARKANSAS HIGHWAY 335,NORPHLET,UNION,05139,AR,71759,33.3083,-92.6568,Final,05/12/14,0
ARD008052508,0603790,"POPILE, INC.",SOUTHFIELD RD. APPROX. 1/2 MI S OF CITY,EL DORADO,UNION,05139,AR,71730,33.1825,-92.6733,Final,10/14/92,50.03
ARD035662469,0600077,GURLEY PIT,1 MI N OF EDMONDSON,EDMONDSEN,CRITTENDEN,05035,AR,72332,35.1209,-90.3116,Deleted from NPL,11/06/03,40.13
ARD042755231,0604486,OUACHITA NEVADA WOOD TREATER,N OF HWY 368 APPROX. 1/4 MI N OF READER,READER,OUACHITA,05103,AR,71726,33.7594,-93.1042,Final,05/11/00,50
ARD049658628,0603651,MOUNTAIN PINE PRESSURE TREATING,HIGHWAY 28,PLAINVIEW,YELL,05149,AR,72857,34.9841,-93.3022,Final,07/22/99,41.93
ARD059636456,0600106,FRIT INDUSTRIES,INDUSTRIAL PARK,WALNUT RIDGE,LAWRENCE,05075,AR,72476,36.105,-90.9416,Deleted from NPL,10/14/97,39.47
ARD084930148,0600124,"ARKWOOD, INC.",S. OF CITY @ CRICKETT RR JUNC.,OMAHA,BOONE,05009,AR,72662,36.445,-93.1964,Final,03/31/89,28.95
ARD092916188,0600136,MID-SOUTH WOOD PRODUCTS,HWY 71 SOUTH,MENA,POLK,05113,AR,71953,34.5697,-94.2566,Final,09/08/83,45.87
ARD980496186,0600151,CECIL LINDSEY,SEC 32 T12N R2W,NEWPORT,JACKSON,05067,AR,72112,35.6349,-91.2255,Deleted from NPL,09/22/89,35.6
ARD980496368,0600163,INDUSTRIAL WASTE CONTROL,BONANZA ROAD,FORT SMITH,SEBASTIAN,05131,AR,72901,35.2402,-94.3525,Deleted from NPL,04/07/08,0
ARD980496723,0600184,SOUTH 8TH STREET LANDFILL,SOUTH EIGHTH STREET,WEST MEMPHIS,CRITTENDEN,05035,AR,72301,35.1244,-90.1694,Deleted from NPL,09/28/04,50.27
ARD980745665,0600216,MIDLAND PRODUCTS,1/2 MI E ON HIGHWAY 10,OLA/BIRTA,YELL,05149,AR,72853,35.025,-93.2038,Final,06/10/86,30.77
ARD980809941,0600236,JACKSONVILLE MUNICIPAL LANDFILL,GRAHAM RD,JACKSONVILLE,LONOKE,05085,AR,72076,34.8633,-92.0716,Deleted from NPL,03/14/00,29.64
ARD980864110,0600246,MONROE AUTO EQUIPMENT CO. (PARAGOULD PIT),HWY 358 2 1/2 MI W OF TOWN,PARAGOULD,GREENE,05055,AR,72450,36.0208,-90.575,Deleted from NPL,09/29/14,46.01
ARD981055809,0600269,ROGERS ROAD MUNICIPAL LANDFILL,ROGER RD 2/10MI S OF GRAHAM RD,JACKSONVILLE,PULASKI,05119,AR,72076,34.8627,-92.0778,Deleted from NPL,10/12/10,0
